16/05/2023 20:51:40 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в магазин.
16/05/2023 20:51:40 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в магазин.
16/05/2023 20:51:40 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в магазин.
16/05/2023 20:51:40 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в магазин.
16/05/2023 20:51:40 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в магазин.
16/05/2023 20:51:40 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в магазин.
16/05/2023 20:51:40 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в магазин.
16/05/2023 20:51:40 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в магазин.
16/05/2023 20:51:40 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в магазин.
16/05/2023 20:51:40 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в магазин.
16/05/2023 20:51:40 id =9, name = Молодая картошка, amount = 5, odds = 44% был выбран для розыгрыша
16/05/2023 20:51:40 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в очередь на розыгрыш.
16/05/2023 20:51:40 id =8, name = Кукла трудовик, amount = 10, odds = 12% был выбран для розыгрыша
16/05/2023 20:51:40 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 20:51:40 id =3, name = Собака танцующая, amount = 40, odds = 30% был выбран для розыгрыша
16/05/2023 20:51:40 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в очередь на розыгрыш.
16/05/2023 20:51:40 id =8, name = Кукла трудовик, amount = 10, odds = 12% был выбран для розыгрыша
16/05/2023 20:51:40 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 20:51:40 id =5, name = Кукла строитель, amount = 50, odds = 27% был выбран для розыгрыша
16/05/2023 20:51:40 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в очередь на розыгрыш.
16/05/2023 20:51:40 id =4, name = Ворона желтая, amount = 70, odds = 33% был выбран для розыгрыша
16/05/2023 20:51:40 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в очередь на розыгрыш.
16/05/2023 20:51:40 id =9, name = Молодая картошка, amount = 5, odds = 44% был выбран для розыгрыша
16/05/2023 20:51:40 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в очередь на розыгрыш.
16/05/2023 20:51:40 id =7, name = Тучка веселая, amount = 60, odds = 70% был выбран для розыгрыша
16/05/2023 20:51:40 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в очередь на розыгрыш.
16/05/2023 20:51:40 id =8, name = Кукла трудовик, amount = 10, odds = 12% был выбран для розыгрыша
16/05/2023 20:51:40 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 20:51:40 id =5, name = Кукла строитель, amount = 50, odds = 27% был выбран для розыгрыша
16/05/2023 20:51:40 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в очередь на розыгрыш.
16/05/2023 20:54:10 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в магазин.
16/05/2023 20:54:11 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в магазин.
16/05/2023 20:54:11 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в магазин.
16/05/2023 20:54:11 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в магазин.
16/05/2023 20:54:11 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в магазин.
16/05/2023 20:54:11 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в магазин.
16/05/2023 20:54:11 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в магазин.
16/05/2023 20:54:11 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в магазин.
16/05/2023 20:54:11 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в магазин.
16/05/2023 20:54:11 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в магазин.
16/05/2023 20:54:11 id =2, name = Погремушка, amount = 45, odds = 20% был выбран для розыгрыша
16/05/2023 20:54:11 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в очередь на розыгрыш.
16/05/2023 20:54:11 id =4, name = Ворона желтая, amount = 70, odds = 33% был выбран для розыгрыша
16/05/2023 20:54:11 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в очередь на розыгрыш.
16/05/2023 20:54:11 id =3, name = Собака танцующая, amount = 40, odds = 30% был выбран для розыгрыша
16/05/2023 20:54:11 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в очередь на розыгрыш.
16/05/2023 20:54:11 id =1, name = Мягкая морковь, amount = 30, odds = 60% был выбран для розыгрыша
16/05/2023 20:54:11 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в очередь на розыгрыш.
16/05/2023 20:54:11 id =7, name = Тучка веселая, amount = 60, odds = 70% был выбран для розыгрыша
16/05/2023 20:54:11 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в очередь на розыгрыш.
16/05/2023 20:54:11 id =1, name = Мягкая морковь, amount = 30, odds = 60% был выбран для розыгрыша
16/05/2023 20:54:11 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в очередь на розыгрыш.
